MFile 0 1 480
MTrk
0 Meta TrkName "drums"
0 Meta InstrName "midi"
0 TimeSig 4/4 24 8
0 KeySig 0 major
0 SMPTE 33 0 0 0 0
0 Tempo 372671
0 On ch=1 n=0 v=100
0 On ch=1 n=30 v=99
120 Off ch=1 n=0 v=0
720 On ch=1 n=30 v=0
720 On ch=1 n=30 v=99
1440 On ch=1 n=30 v=90
1440 Off ch=1 n=30 v=64
2880 On ch=1 n=30 v=0
3840 On ch=1 n=30 v=107
4560 On ch=1 n=30 v=0
4560 On ch=1 n=30 v=123
5250 On ch=1 n=30 v=0
5280 On ch=1 n=30 v=110
6775 On ch=1 n=30 v=0
7680 On ch=1 n=30 v=110
8400 On ch=1 n=30 v=0
8400 On ch=1 n=30 v=127
9038 On ch=1 n=30 v=0
9120 On ch=1 n=30 v=96
10560 On ch=1 n=30 v=0
11520 On ch=1 n=30 v=101
12240 On ch=1 n=30 v=0
12240 On ch=1 n=30 v=124
12942 On ch=1 n=30 v=0
12960 On ch=1 n=30 v=78
14400 On ch=1 n=30 v=0
14880 On ch=1 n=32 v=86
15356 Off ch=1 n=32 v=0
15360 On ch=1 n=25 v=123
15360 On ch=1 n=26 v=123
15360 On ch=1 n=30 v=99
15360 On ch=1 n=32 v=86
15480 Off ch=1 n=26 v=0
15480 Off ch=1 n=26 v=0
15840 On ch=1 n=26 v=99
15840 On ch=1 n=28 v=99
15840 Off ch=1 n=25 v=0
15960 Off ch=1 n=26 v=64
16080 On ch=1 n=25 v=123
16080 On ch=1 n=26 v=123
16080 On ch=1 n=30 v=0
16080 On ch=1 n=30 v=99
16200 Off ch=1 n=26 v=64
16200 Off ch=1 n=26 v=64
16320 Off ch=1 n=28 v=64
16560 On ch=1 n=26 v=99
16560 On ch=1 n=28 v=99
16560 Off ch=1 n=25 v=64
16680 Off ch=1 n=26 v=64
16800 On ch=1 n=25 v=123
16800 On ch=1 n=26 v=123
16800 On ch=1 n=30 v=90
16800 Off ch=1 n=30 v=64
16920 Off ch=1 n=26 v=64
16920 Off ch=1 n=26 v=64
17040 Off ch=1 n=28 v=64
17280 Off ch=1 n=25 v=64
17760 On ch=1 n=26 v=99
17760 On ch=1 n=28 v=99
17880 Off ch=1 n=26 v=64
18000 On ch=1 n=25 v=123
18000 On ch=1 n=26 v=123
18120 Off ch=1 n=26 v=64
18240 On ch=1 n=25 v=123
18240 On ch=1 n=26 v=123
18240 On ch=1 n=30 v=0
18240 Off ch=1 n=25 v=64
18240 Off ch=1 n=28 v=64
18360 Off ch=1 n=26 v=64
18480 Off ch=1 n=25 v=64
18716 Off ch=1 n=32 v=64
18720 On ch=1 n=26 v=86
18720 On ch=1 n=32 v=86
18840 Off ch=1 n=26 v=64
19196 Off ch=1 n=32 v=0
19200 On ch=1 n=25 v=123
19200 On ch=1 n=26 v=123
19200 On ch=1 n=26 v=86
19200 On ch=1 n=30 v=107
19200 On ch=1 n=32 v=86
19320 Off ch=1 n=26 v=64
19320 Off ch=1 n=26 v=64
19320 Off ch=1 n=26 v=64
19680 On ch=1 n=26 v=99
19680 On ch=1 n=28 v=99
19680 Off ch=1 n=25 v=64
19800 Off ch=1 n=26 v=64
19920 On ch=1 n=25 v=123
19920 On ch=1 n=26 v=123
19920 On ch=1 n=30 v=0
19920 On ch=1 n=30 v=123
20040 Off ch=1 n=26 v=64
20040 Off ch=1 n=26 v=64
20160 Off ch=1 n=28 v=64
20400 On ch=1 n=26 v=99
20400 On ch=1 n=28 v=99
20400 Off ch=1 n=25 v=64
20520 Off ch=1 n=26 v=64
20610 On ch=1 n=30 v=0
20636 Off ch=1 n=32 v=64
20640 On ch=1 n=26 v=86
20640 On ch=1 n=25 v=123
20640 On ch=1 n=26 v=123
20640 On ch=1 n=26 v=86
20640 On ch=1 n=30 v=110
20640 On ch=1 n=32 v=86
20760 Off ch=1 n=26 v=64
20760 Off ch=1 n=26 v=64
20760 Off ch=1 n=26 v=64
20760 Off ch=1 n=26 v=64
20880 Off ch=1 n=28 v=64
21120 Off ch=1 n=25 v=64
21360 On ch=1 n=26 v=86
21480 Off ch=1 n=26 v=64
21600 On ch=1 n=26 v=99
21600 On ch=1 n=28 v=99
21720 Off ch=1 n=26 v=64
22080 On ch=1 n=25 v=123
22080 On ch=1 n=26 v=123
22080 Off ch=1 n=28 v=64
22135 On ch=1 n=30 v=0
22200 Off ch=1 n=26 v=64
22320 On ch=1 n=25 v=123
22320 On ch=1 n=26 v=123
22320 Off ch=1 n=25 v=64
22440 Off ch=1 n=26 v=64
22556 Off ch=1 n=32 v=64
22560 On ch=1 n=28 v=92
22560 On ch=1 n=32 v=86
22560 Off ch=1 n=25 v=64
22800 On ch=1 n=25 v=123
22800 On ch=1 n=26 v=123
22920 Off ch=1 n=26 v=64
23036 Off ch=1 n=32 v=64
23040 On ch=1 n=25 v=123
23040 On ch=1 n=26 v=123
23040 On ch=1 n=30 v=110
23040 On ch=1 n=32 v=86
23040 Off ch=1 n=25 v=64
23040 Off ch=1 n=28 v=64
23160 Off ch=1 n=26 v=0
23160 Off ch=1 n=26 v=0
23520 On ch=1 n=26 v=99
23520 On ch=1 n=28 v=99
23520 Off ch=1 n=25 v=0
23640 Off ch=1 n=26 v=64
23760 On ch=1 n=25 v=123
23760 On ch=1 n=26 v=123
23760 On ch=1 n=30 v=0
23760 On ch=1 n=30 v=127
23880 Off ch=1 n=26 v=64
23880 Off ch=1 n=26 v=64
24000 Off ch=1 n=28 v=64
24240 On ch=1 n=26 v=99
24240 On ch=1 n=28 v=99
24240 Off ch=1 n=25 v=64
24360 Off ch=1 n=26 v=64
24398 On ch=1 n=30 v=0
24480 On ch=1 n=25 v=123
24480 On ch=1 n=26 v=123
24480 On ch=1 n=30 v=96
24600 Off ch=1 n=26 v=64
24600 Off ch=1 n=26 v=64
24720 Off ch=1 n=28 v=64
24960 Off ch=1 n=25 v=64
25440 On ch=1 n=26 v=99
25440 On ch=1 n=28 v=99
25560 Off ch=1 n=26 v=64
25680 On ch=1 n=25 v=123
25680 On ch=1 n=26 v=123
25800 Off ch=1 n=26 v=64
25913 On ch=1 n=29 v=127
25920 On ch=1 n=25 v=123
25920 On ch=1 n=26 v=123
25920 On ch=1 n=30 v=0
25920 Off ch=1 n=25 v=64
25920 Off ch=1 n=28 v=64
26040 Off ch=1 n=26 v=64
26160 Off ch=1 n=25 v=64
26396 Off ch=1 n=32 v=64
26400 On ch=1 n=26 v=86
26400 On ch=1 n=32 v=86
26520 Off ch=1 n=26 v=64
26528 On ch=1 n=29 v=0
26876 Off ch=1 n=32 v=64
26880 On ch=1 n=25 v=123
26880 On ch=1 n=26 v=123
26880 On ch=1 n=26 v=86
26880 On ch=1 n=30 v=101
26880 On ch=1 n=32 v=86
27000 Off ch=1 n=26 v=64
27000 Off ch=1 n=26 v=64
27000 Off ch=1 n=26 v=64
27360 On ch=1 n=26 v=99
27360 On ch=1 n=28 v=99
27360 Off ch=1 n=25 v=64
27480 Off ch=1 n=26 v=64
27600 On ch=1 n=25 v=123
27600 On ch=1 n=26 v=123
27600 On ch=1 n=30 v=0
27600 On ch=1 n=30 v=124
27720 Off ch=1 n=26 v=64
27720 Off ch=1 n=26 v=64
27840 Off ch=1 n=28 v=64
28080 On ch=1 n=26 v=99
28080 On ch=1 n=28 v=99
28080 Off ch=1 n=25 v=64
28200 Off ch=1 n=26 v=64
28302 On ch=1 n=30 v=0
28316 Off ch=1 n=32 v=64
28320 On ch=1 n=26 v=86
28320 On ch=1 n=25 v=123
28320 On ch=1 n=26 v=123
28320 On ch=1 n=26 v=86
28320 On ch=1 n=30 v=78
28320 On ch=1 n=32 v=86
28440 Off ch=1 n=26 v=64
28440 Off ch=1 n=26 v=64
28440 Off ch=1 n=26 v=64
28440 Off ch=1 n=26 v=64
28560 Off ch=1 n=28 v=64
28800 Off ch=1 n=25 v=64
29040 On ch=1 n=26 v=86
29160 Off ch=1 n=26 v=64
